,Unnamed: 0,Happiness Rank,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
680,55,56,Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.028,0.107,2019
681,56,57,Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.06,0.215,2019
682,57,58,Japan,Eastern Asia,5.886,1.327,1.419,1.088,0.445,0.14,0.069,2019
683,58,59,Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.078,0.246,2019
684,59,60,Kazakhstan,Central and Eastern Europe,5.809,1.173,1.508,0.729,0.41,0.096,0.146,2019
685,60,61,Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.064,0.137,2019
686,61,62,Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.02,0.081,2019
687,62,63,Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.08,0.184,2019
688,63,64,Northern Cyprus,-,5.718,1.263,1.252,1.042,0.417,0.162,0.191,2019
689,64,65,Peru,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.027,0.083,2019
690,65,66,Portugal,Western Europe,5.693,1.221,1.431,0.999,0.508,0.025,0.047,2019
691,66,67,Pakistan,Southern Asia,5.653,0.677,0.886,0.535,0.313,0.098,0.22,2019
692,67,68,Russia,Central and Eastern Europe,5.648,1.183,1.452,0.726,0.334,0.031,0.082,2019
693,68,69,Philippines,Southeastern Asia,5.631,0.807,1.293,0.657,0.558,0.107,0.117,2019
694,69,70,Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.039,0.137,2019
695,70,71,Moldova,Central and Eastern Europe,5.529,0.685,1.328,0.739,0.245,0.0,0.181,2019
696,71,72,Libya,Middle East and Northern Africa,5.525,1.044,1.303,0.673,0.416,0.152,0.133,2019
697,72,73,Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.08,0.142,2019
698,73,74,Tajikistan,Central and Eastern Europe,5.467,0.493,1.098,0.718,0.389,0.144,0.23,2019
699,74,75,Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.022,0.119,2019
700,75,76,Hong Kong,Eastern Asia,5.43,1.438,1.277,1.122,0.44,0.287,0.258,2019
701,76,77,Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.101,0.113,2019
702,77,78,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.006,0.263,2019
703,78,79,Turkey,Middle East and Northern Africa,5.373,1.183,1.36,0.808,0.195,0.106,0.083,2019
704,79,80,Malaysia,Southeastern Asia,5.339,1.221,1.171,0.828,0.508,0.024,0.26,2019
705,80,81,Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.142,0.094,2019
706,81,82,Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,0.034,0.0,2019
707,82,83,Mongolia,Eastern Asia,5.285,0.948,1.531,0.667,0.317,0.038,0.235,2019
708,83,84,North Macedonia,-,5.274,0.983,1.294,0.838,0.345,0.034,0.185,2019
709,84,85,Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.041,0.215,2019
710,85,86,Kyrgyzstan,Central and Eastern Europe,5.261,0.551,1.438,0.723,0.508,0.023,0.3,2019
711,86,87,Turkmenistan,Central and Eastern Europe,5.247,1.052,1.538,0.657,0.394,0.028,0.244,2019
712,87,88,Algeria,Middle East and Northern Africa,5.211,1.002,1.16,0.785,0.086,0.114,0.073,2019
713,88,89,Morocco,Middle East and Northern Africa,5.208,0.801,0.782,0.782,0.418,0.076,0.036,2019
714,89,90,Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.182,0.035,2019
715,90,91,Lebanon,Middle East and Northern Africa,5.197,0.987,1.224,0.815,0.216,0.027,0.166,2019
716,91,92,Indonesia,Southeastern Asia,5.192,0.931,1.203,0.66,0.491,0.028,0.498,2019
717,92,93,China,Eastern Asia,5.191,1.029,1.125,0.893,0.521,0.1,0.058,2019
718,93,94,Vietnam,Southeastern Asia,5.175,0.741,1.346,0.851,0.543,0.073,0.147,2019
719,94,95,Bhutan,Southern Asia,5.082,0.813,1.321,0.604,0.457,0.167,0.37,2019
720,95,96,Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.037,0.187,2019
721,96,97,Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.004,0.081,2019
722,97,98,Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.04,0.245,2019
723,98,99,Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.09,0.154,2019
724,99,100,Nepal,Southern Asia,4.913,0.446,1.226,0.677,0.439,0.089,0.285,2019
725,100,101,Jordan,Middle East and Northern Africa,4.906,0.837,1.225,0.815,0.383,0.13,0.11,2019
726,101,102,Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.082,0.175,2019
727,102,103,Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.093,0.105,2019
728,103,104,Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.055,0.043,2019
729,104,105,Laos,Southeastern Asia,4.796,0.764,1.03,0.551,0.547,0.164,0.266,2019
730,105,106,South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.055,0.13,2019
731,106,107,Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.027,0.178,2019
732,107,108,Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.047,0.064,2019
733,108,109,Cambodia,Southeastern Asia,4.7,0.574,1.122,0.637,0.609,0.062,0.232,2019
734,109,110,Palestinian Territories,Middle East and Northern Africa,4.696,0.657,1.247,0.672,0.225,0.066,0.103,2019
735,110,111,Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.072,0.153,2019
736,111,112,Somalia,-,4.668,0.0,0.698,0.268,0.559,0.27,0.243,2019
737,112,113,Namibia,-,4.639,0.879,1.313,0.477,0.401,0.056,0.07,2019
738,113,114,Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.102,0.188,2019
739,114,115,Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.113,0.177,2019
740,115,116,Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.064,0.095,2019
741,116,117,Iran,Middle East and Northern Africa,4.548,1.1,0.842,0.785,0.305,0.125,0.27,2019
742,117,118,Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.086,0.207,2019
743,118,119,Georgia,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.164,0.043,2019
744,119,120,Gambia,-,4.516,0.308,0.939,0.428,0.382,0.167,0.269,2019
745,120,121,Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.053,0.372,2019
746,121,122,Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.088,0.106,2019
747,122,123,Mozambique,Sub-Saharan Africa,4.466,0.204,0.986,0.39,0.494,0.138,0.197,2019
748,123,124,Tunisia,Middle East and Northern Africa,4.461,0.921,1.0,0.815,0.167,0.055,0.059,2019
749,124,125,Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.143,0.166,2019
750,125,126,Iraq,Middle East and Northern Africa,4.437,1.043,0.98,0.574,0.241,0.089,0.148,2019
751,126,127,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,1.125,0.357,0.269,0.053,0.212,2019
752,127,128,Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.052,0.153,2019
753,128,129,Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.045,0.252,2019
754,129,130,Sri Lanka,Southern Asia,4.366,0.949,1.265,0.831,0.47,0.047,0.244,2019
755,130,131,Myanmar,Southeastern Asia,4.36,0.71,1.181,0.555,0.525,0.172,0.566,2019
756,131,132,Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.078,0.198,2019
757,132,133,Ukraine,Central and Eastern Europe,4.332,0.82,1.39,0.739,0.178,0.01,0.187,2019
758,133,134,Ethiopia,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.1,0.209,2019
759,134,135,Swaziland,Sub-Saharan Africa,4.212,0.811,1.149,0.0,0.313,0.135,0.074,2019
760,135,136,Uganda,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.06,0.252,2019
761,136,137,Egypt,Middle East and Northern Africa,4.166,0.913,1.039,0.644,0.241,0.067,0.076,2019
762,137,138,Zambia,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.087,0.247,2019
763,138,139,Togo,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.085,0.177,2019
764,139,140,India,Southern Asia,4.015,0.755,0.765,0.588,0.498,0.085,0.2,2019
765,140,141,Liberia,Sub-Saharan Africa,3.975,0.073,0.922,0.443,0.37,0.033,0.233,2019
766,141,142,Comoros,Sub-Saharan Africa,3.973,0.274,0.757,0.505,0.142,0.078,0.275,2019
767,142,143,Madagascar,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.041,0.169,2019
768,143,144,Lesotho,Sub-Saharan Africa,3.802,0.489,1.169,0.168,0.359,0.093,0.107,2019
769,144,145,Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.18,0.176,2019
770,145,146,Zimbabwe,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.089,0.151,2019
771,146,147,Haiti,Latin America and Caribbean,3.597,0.323,0.688,0.449,0.026,0.11,0.419,2019
772,147,148,Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.1,0.025,2019
773,148,149,Syria,Middle East and Northern Africa,3.462,0.619,0.378,0.44,0.013,0.141,0.331,2019
774,149,150,Malawi,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.089,0.218,2019
775,150,151,Yemen,Middle East and Northern Africa,3.38,0.287,1.163,0.463,0.143,0.077,0.108,2019
776,151,152,Rwanda,Sub-Saharan Africa,3.334,0.359,0.711,0.614,0.555,0.411,0.217,2019
777,152,153,Tanzania,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.147,0.276,2019
778,153,154,Afghanistan,Southern Asia,3.203,0.35,0.517,0.361,0.0,0.025,0.158,2019
779,154,155,Central African Republic,Sub-Saharan Africa,3.083,0.026,0.0,0.105,0.225,0.035,0.235,2019
780,155,156,South Sudan,-,2.853,0.306,0.575,0.295,0.01,0.091,0.202,2019
